no,judul,tanggal,media,link,ringkasan,kutipan
1,Wonderful Indonesia Wellness Festival 2025 Awaits,17 Oktober 2025,PR Newswire APAC,https://www.prnewswire.com/apac/news-releases/discover-your-inner-harmony-wonderful-indonesia-wellness-festival-2025-awaits-302587377.html,Festival wellness perdana Indonesia menawarkan pengalaman autentik wellness di Surakarta dan Yogyakarta sepanjang November dengan program meditasi di situs bersejarah dan spiritual spa treatments.,"""spiritual spa treatments, meditation at historical sites"""
2,Discover Your Inner Harmony: Wonderful Indonesia Wellness Festival 2025,17 Oktober 2025,Laotian Times,https://laotiantimes.com/2025/10/17/discover-your-inner-harmony-wonderful-indonesia-wellness-festival-2025-awaits/,Indonesia diakui sebagai mercusuar wellness dengan praktik kuno termasuk meditasi yang menenangkan dan jalan-jalan meditatif di istana.,"""calming meditation, traditional herbal medicine"""
3,Wonderful Indonesia Wellness 2025 celebrates cultural wellness traditions,6 November 2025,The Jakarta Post,https://www.thejakartapost.com/adv/2025/11/06/wonderful-indonesia-wellness-2025-celebrates-indonesias-cultural-wellness-traditions.html,"Festival resmi dimulai dengan program Spiritual Wellness and Energy Healing, Natural Beauty, dan Harmony in Wellness.","""Spiritual Wellness and Energy Healing"""
4,Isha Indonesia Holds Free Yoga & Meditation Sessions,20 Juni 2025,IndoIndians,https://www.indoindians.com/come-join-isha-indonesia-holds-free-yoga-meditation-sessions/,"Sesi yoga dan meditasi gratis untuk International Day of Yoga dengan fokus pada keseimbangan batin, kejelasan mental, dan ketahanan emosional.","""fostering inner balance, mental clarity, and emotional resilience"""
5,International Day of Yoga 2025,18 Juni 2025,IndoIndians,https://www.indoindians.com/10th-international-day-of-yoga-in-jakarta/,Peringatan ke-11 International Day of Yoga sebagai gerakan global yang menyatukan jutaan orang dalam praktik transformatif yoga.,"""transformative practice of yoga"""
6,Top Yoga & Pilates Studios in Yogyakarta,28 Mei 2025,What's New Indonesia,https://whatsnewindonesia.com/yogyakarta/ultimate-guide/spa-and-well-being/top-yoga-pilates-studios-yogyakarta,Alive Studio adalah studio yoga dan Pilates khusus di jantung Yogyakarta yang menawarkan kelas berkualitas tinggi.,"""high-quality classes"""
7,Top Luxury Wellness Spas in Yogyakarta,15 Januari 2025,What's New Indonesia,https://whatsnewindonesia.com/yogyakarta/ultimate-guide/spa-and-well-being/top-luxury-wellness-spas-yogyakarta,Bylu adalah spa kulit kepala bergaya Jepang pertama di Yogyakarta yang menawarkan pendekatan holistik untuk wellness.,"""holistic approach to wellness"""
8,Indonesia's Wellness Festival 2025 Reimagines Rest and Ritual,20 Oktober 2025,eGlobal Travel Media,https://eglobaltravelmedia.com.au/2025/10/20/indonesias-wellness-awakening-begins-in-java/,Festival wellness Indonesia menghadirkan kembali konsep istirahat dan ritual tradisional dengan pendekatan modern.,"""traditional rest and ritual"""
9,Wonderful Indonesia Wellness Festival 2025 (Tribune India),17 Oktober 2025,Tribune India,https://www.tribuneindia.com/news/business/discover-your-inner-harmony-wonderful-indonesia-wellness-festival-2025-awaits/,"Festival menampilkan program beragam termasuk sesi yoga gratis, edukasi jamu tradisional, dan meditasi di situs bersejarah.","""meditation at historical sites"""
10,Wonderful Indonesia Wellness Festival (Bastille Post),17 Oktober 2025,Bastille Post,https://www.bastillepost.com/global/article/5288703-discover-your-inner-harmony-wonderful-indonesia-wellness-festival-2025-awaits,Yogyakarta menunjukkan kekuatan dalam wellness berbasis komunitas dengan program meditasi di situs bersejarah.,"""community-driven wellness"""
